name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
Tarek's Cafe & Grill,15345 Amberly Dr,Tampa,FL,4,"Cafes, Sandwiches, Restaurants, Vegetarian, Halal, Breakfast & Brunch, American (Traditional)",Coffee/Cafe,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,8.37,185666
Sami's Bakery,4914 E Busch Blvd,Tampa,FL,4,"Food, Bakeries, Restaurants",Other,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,4.6,468742
Pipo's Cafe,411 S MacDill Ave,Tampa,FL,3,"Restaurants, Cafes",Coffee/Cafe,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,28.58,411201
Rasoi Indian Cuisine,1701 E 8th Ave,Tampa,FL,4,"Indian, Restaurants",Other,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,17.36,220423
Santorini Greek,"4901 W Linebaugh Ave, Ste 5",Tampa,FL,4,"Greek, Restaurants, Food, Food Trucks",Food Trucks,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,14.4,122068
Chicky Chicky Bang Bang,4110 Henderson Blvd,Tampa,FL,3,"Restaurants, Chicken Shop, Sandwiches",Other,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,27.71,297935
Taco Dirty,2221 W Platt St,Tampa,FL,4,"Fast Food, Caterers, Event Planning & Services, Restaurants, Tacos, Mexican",Latin,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,25.24,370227
The Nest Neighborhood Kitchen,2217 S Dale Mabry Hwy,Tampa,FL,4,"Restaurants, Sandwiches, Burgers, Breakfast & Brunch",American & Fast Food,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,4.7,297935
Gumby's Pizza and Wings,2770 University Square Dr,Tampa,FL,3,"Chicken Wings, Pizza, Restaurants",Other,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Ho King,18041 Highwoods Preserve Pkwy,Tampa,FL,3,"Chinese, Restaurants",Asian,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,6.21,185666
La Bamba restaurante,4815 W Laurel St,Tampa,FL,4,"Cuban, Spanish, Restaurants",Latin,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,28.27,312328
Brandon Italian Express,9017 E Adamo Dr,Tampa,FL,1,"Pizza, Italian, Restaurants",Italian,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,1.37,498759
